X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
739;440;0.4683135;0.4962171;0.3165099;0.3510633;394.3;0.207765;False;2026-06-19 9:40:43 AM:942;1781854843942;;
695;436;0.4403872;0.4913965;0.3407393;0.4392297;394.1;0.2078027;False;2026-06-19 9:40:43 AM:972;1781854843972;;
665;433;0.4215063;0.4876628;0.3407386;0.439233;394.0;0.2078018;False;2026-06-19 9:40:44 AM:2;1781854844002;;
657;433;0.4165417;0.487766;0.3807391;0.5067967;393.1;0.212078;False;2026-06-19 9:40:44 AM:34;1781854844034;;
652;433;0.4129366;0.4878497;0.3807422;0.506783;392.3;0.2120826;False;2026-06-19 9:40:44 AM:64;1781854844064;;
758;433;0.4801477;0.4883141;0.6663707;0.5247752;392.9;0.1910205;False;2026-06-19 9:40:44 AM:94;1781854844094;;
825;433;0.5227811;0.4886927;0.6663781;0.524763;393.5;0.1910332;False;2026-06-19 9:40:44 AM:124;1781854844124;;
884;427;0.5602506;0.4810335;0.6891679;0.4040858;394.0;0.1857128;False;2026-06-19 9:40:44 AM:155;1781854844155;;
921;425;0.5838544;0.4795203;0.6869586;0.4453809;394.4;0.1857204;False;2026-06-19 9:40:44 AM:184;1781854844184;;
964;426;0.6109565;0.4803183;0.7172815;0.5146337;393.1;0.1980399;False;2026-06-19 9:40:44 AM:214;1781854844214;;
994;427;0.6295619;0.4809707;0.7172823;0.5146363;391.8;0.1980393;False;2026-06-19 9:40:44 AM:244;1781854844244;;
1005;432;0.6369093;0.4872441;0.6886152;0.5724735;391.2;0.1993516;False;2026-06-19 9:40:44 AM:278;1781854844278;;
1013;436;0.6419906;0.4918003;0.6886166;0.5724825;390.6;0.1993476;False;2026-06-19 9:40:44 AM:309;1781854844309;;
1021;436;0.6468725;0.4919657;0.6940173;0.5014087;391.8;0.1947375;False;2026-06-19 9:40:44 AM:341;1781854844341;;
1027;436;0.6504495;0.4920952;0.6940174;0.5014078;392.8;0.1947384;False;2026-06-19 9:40:44 AM:371;1781854844371;;
1034;436;0.6549647;0.4918136;0.7061868;0.4820492;393.7;0.1947501;False;2026-06-19 9:40:44 AM:401;1781854844401;;
1040;436;0.6589379;0.4918796;0.7072194;0.5037259;394.2;0.2002857;False;2026-06-19 9:40:44 AM:434;1781854844434;;
1045;436;0.66183;0.4919308;0.7072183;0.503728;394.7;0.2002832;False;2026-06-19 9:40:44 AM:465;1781854844465;;
1049;436;0.6644329;0.491987;0.7079979;0.5021948;394.8;0.1996216;False;2026-06-19 9:40:44 AM:498;1781854844498;;
1052;436;0.6662897;0.492029;0.7079855;0.5022114;394.8;0.1996012;False;2026-06-19 9:40:44 AM:528;1781854844528;;
1055;435;0.6684029;0.4906963;0.713192;0.4594574;393.5;0.1960835;False;2026-06-19 9:40:44 AM:559;1781854844559;;
1057;432;0.6698661;0.4875583;0.7107897;0.4343206;392.2;0.1960983;False;2026-06-19 9:40:44 AM:590;1781854844590;;
1060;434;0.6715313;0.4890819;0.7157469;0.5292746;391.3;0.197089;False;2026-06-19 9:40:44 AM:621;1781854844621;;
1066;431;0.6752168;0.4856189;0.735759;0.4268085;390.5;0.1971183;False;2026-06-19 9:40:44 AM:651;1781854844651;;
983;435;0.6228883;0.4900917;0.4856938;0.5542884;391.2;0.2051264;False;2026-06-19 9:40:44 AM:685;1781854844685;;
935;438;0.5926105;0.4932521;0.4856307;0.5543291;391.8;0.2050592;False;2026-06-19 9:40:44 AM:715;1781854844715;;
779;439;0.4934183;0.4946761;0.3171561;0.5383421;392.2;0.2087968;False;2026-06-19 9:40:44 AM:749;1781854844749;;
695;440;0.4407031;0.4957329;0.3170809;0.5383876;392.5;0.2087228;False;2026-06-19 9:40:44 AM:781;1781854844781;;
644;440;0.4083791;0.4965926;0.3171368;0.5383537;392.8;0.2087777;False;2026-06-19 9:40:44 AM:812;1781854844812;;
